time,x,y,z,yaw,v_x,v_y,v_z
20.400000,-0.023358,11.641260,0.000000,-1.548738,4.596971,0.009453,0.000000
20.410000,-0.022249,11.595304,0.000000,-1.554165,4.637374,-0.031509,0.000000
20.420000,-0.021793,11.548931,0.000000,-1.549611,4.676701,0.010031,0.000000
20.430000,-0.020702,11.502177,0.000000,-1.555055,4.717048,-0.030157,0.000000
20.440000,-0.020261,11.455007,0.000000,-1.550510,4.756809,0.011310,0.000000
20.450000,-0.019183,11.407451,0.000000,-1.555952,4.797121,-0.028197,0.000000
20.460000,-0.018753,11.359481,0.000000,-1.551397,4.837306,0.013112,0.000000
20.470000,-0.017683,11.311120,0.000000,-1.556819,4.877615,-0.025810,0.000000
20.480000,-0.017260,11.262345,0.000000,-1.552240,4.918199,0.015246,0.000000
20.490000,-0.016195,11.213174,0.000000,-1.557628,4.958543,-0.023185,0.000000
20.500000,-0.015774,11.163590,0.000000,-1.553010,4.999490,0.017523,0.000000
20.510000,-0.014709,11.113606,0.000000,-1.558353,5.039910,-0.020506,0.000000
20.520000,-0.014287,11.063208,0.000000,-1.553690,5.081177,0.019764,0.000000
20.530000,-0.013220,11.012407,0.000000,-1.558981,5.121718,-0.017936,0.000000
20.540000,-0.012795,10.961191,0.000000,-1.554266,5.163261,0.021817,0.000000
20.550000,-0.011723,10.909570,0.000000,-1.559503,5.203967,-0.015613,0.000000
20.560000,-0.011292,10.857531,0.000000,-1.554737,5.245745,0.023561,0.000000
20.570000,-0.010214,10.805085,0.000000,-1.559922,5.286657,-0.013638,0.000000
20.580000,-0.009775,10.752220,0.000000,-1.555107,5.328631,0.024912,0.000000
20.590000,-0.008690,10.698944,0.000000,-1.560243,5.369787,-0.012077,0.000000
20.600000,-0.008244,10.645248,0.000000,-1.555387,5.411924,0.025820,0.000000
20.610000,-0.007152,10.591139,0.000000,-1.560483,5.453356,-0.010960,0.000000
20.620000,-0.006699,10.536607,0.000000,-1.555593,5.495626,0.026267,0.000000
20.630000,-0.005601,10.481661,0.000000,-1.560659,5.537357,-0.010287,0.000000
20.640000,-0.005143,10.426289,0.000000,-1.555746,5.579729,0.026253,0.000000
20.650000,-0.004040,10.370502,0.000000,-1.560795,5.621774,-0.010040,0.000000
20.660000,-0.003578,10.314286,0.000000,-1.555872,5.664202,0.025781,0.000000
20.670000,-0.002475,10.257654,0.000000,-1.560918,5.706568,-0.010201,0.000000
20.680000,-0.002014,10.200591,0.000000,-1.556000,5.748961,0.024810,0.000000
20.690000,-0.000915,10.143111,0.000000,-1.561062,5.791639,-0.010775,0.000000
20.700000,-0.000459,10.085196,0.000000,-1.556167,5.833798,0.023188,0.000000
20.710000,0.000626,10.026868,0.000000,-1.561273,5.876381,-0.011335,0.000000
20.720000,0.001073,9.968106,0.000000,-1.556404,5.921342,0.090355,0.000000
20.730000,0.002828,9.908911,0.000000,-1.557246,5.944959,0.091962,0.000000
20.740000,0.004553,9.849480,0.000000,-1.549730,5.958775,0.084089,0.000000
20.750000,0.006649,9.789923,0.000000,-1.552196,5.971992,-0.039244,0.000000
20.760000,0.007368,9.730206,0.000000,-1.554681,5.988826,-0.148557,0.000000
20.770000,0.006847,9.670302,0.000000,-1.558767,6.005325,-0.252103,0.000000
20.780000,0.005049,9.610222,0.000000,-1.564486,6.021062,-0.350693,0.000000
20.790000,0.001922,9.549991,0.000000,-1.571735,6.036241,-0.443353,0.000000
20.800000,-0.002568,9.489633,0.000000,-1.580397,6.051036,-0.530081,0.000000
20.810000,-0.008450,9.429176,0.000000,-1.590382,6.065705,-0.611191,0.000000
20.820000,-0.015748,9.368650,0.000000,-1.601585,6.080943,-0.686891,0.000000
20.830000,-0.024486,9.308081,0.000000,-1.613857,6.098249,-0.757053,0.000000
20.840000,-0.034675,9.247481,0.000000,-1.626975,6.120110,-0.820486,0.000000
20.850000,-0.046303,9.186837,0.000000,-1.640637,6.149252,-0.873981,0.000000
20.860000,-0.059313,9.126104,0.000000,-1.654602,6.185205,-0.910093,0.000000
20.870000,-0.073559,9.065231,0.000000,-1.669009,6.226798,-0.933479,0.000000
20.880000,-0.088955,9.004179,0.000000,-1.683458,6.269805,-0.943887,0.000000
20.890000,-0.105382,8.942939,0.000000,-1.698409,6.317149,-0.956459,0.000000
20.900000,-0.122909,8.881499,0.000000,-1.712718,6.357945,-0.951408,0.000000
20.910000,-0.141320,8.819904,0.000000,-1.728650,6.412278,-0.972584,0.000000
20.920000,-0.161005,8.758108,0.000000,-1.741451,6.442579,-0.924386,0.000000
20.930000,-0.181056,8.696188,0.000000,-1.760001,6.504335,-0.915195,0.000000
20.940000,-0.202278,8.634026,0.000000,-1.771179,6.528463,-0.857377,0.000000
20.950000,-0.223675,8.571754,0.000000,-1.789892,6.578710,-0.863790,0.000000
20.960000,-0.246405,8.509417,0.000000,-1.802630,6.603791,-0.872462,0.000000
20.970000,-0.270069,8.447151,0.000000,-1.818817,6.636451,-0.920476,0.000000
20.980000,-0.295284,8.385077,0.000000,-1.832828,6.665800,-0.931869,0.000000
20.990000,-0.321552,8.323108,0.000000,-1.849130,6.705942,-0.968519,0.000000
21.000000,-0.349289,8.261290,0.000000,-1.863238,6.736788,-0.956407,0.000000
21.010000,-0.377869,8.199540,0.000000,-1.880565,6.785083,-0.982549,0.000000
21.020000,-0.407910,8.137914,0.000000,-1.893943,6.812876,-0.945669,0.000000
21.030000,-0.438512,8.076314,0.000000,-1.912413,6.863462,-0.954942,0.000000
21.040000,-0.470503,8.014845,0.000000,-1.925729,6.889592,-0.930672,0.000000
21.050000,-0.503172,7.953478,0.000000,-1.943684,6.931073,-0.956445,0.000000
21.060000,-0.537330,7.892414,0.000000,-1.957845,6.958670,-0.951483,0.000000
21.070000,-0.572407,7.831567,0.000000,-1.975129,6.975454,-0.991463,0.000000
21.080000,-0.608964,7.771337,0.000000,-1.990664,6.898758,-1.020818,0.000000
21.090000,-0.646407,7.712503,0.000000,-2.010438,6.821212,-0.904690,0.000000
21.100000,-0.683626,7.654628,0.000000,-2.025618,6.701204,-0.909251,0.000000
21.110000,-0.721233,7.598423,0.000000,-2.046739,6.623986,-0.733935,0.000000
21.120000,-0.758106,7.542908,0.000000,-2.064018,6.494166,-0.716684,0.000000
21.130000,-0.795166,7.489099,0.000000,-2.086591,6.418123,-0.521677,0.000000
21.140000,-0.831360,7.435841,0.000000,-2.105563,6.283262,-0.495113,0.000000
21.150000,-0.867642,7.384304,0.000000,-2.129941,6.210089,-0.285109,0.000000
21.160000,-0.903001,7.333173,0.000000,-2.150535,6.072567,-0.256554,0.000000
21.170000,-0.938414,7.283775,0.000000,-2.176986,6.001342,-0.032377,0.000000
21.180000,-0.972872,7.234639,0.000000,-2.199269,5.862172,-0.004217,0.000000
21.190000,-1.007370,7.187243,0.000000,-2.227905,5.796089,0.222130,0.000000
21.200000,-1.041016,7.139995,0.000000,-2.251844,5.673389,0.242637,0.000000
21.210000,-1.074851,7.094390,0.000000,-2.281670,5.606826,0.430860,0.000000
21.220000,-1.108170,7.049091,0.000000,-2.306092,5.497709,0.426210,0.000000
21.230000,-1.141888,7.005459,0.000000,-2.335977,5.422999,0.560177,0.000000
21.240000,-1.175411,6.962465,0.000000,-2.361135,5.324991,0.537560,0.000000
21.250000,-1.209468,6.921178,0.000000,-2.390755,5.252197,0.621020,0.000000
21.260000,-1.243630,6.880804,0.000000,-2.417011,5.162219,0.591446,0.000000
21.270000,-1.278364,6.842160,0.000000,-2.446756,5.105464,0.670644,0.000000
21.280000,-1.313288,6.804320,0.000000,-2.472038,5.023914,0.627815,0.000000
