time,throttle,steering
3.740000,0.023868,1.000000
3.750000,0.016255,1.000000
3.760000,0.025972,1.000000
3.770000,0.018568,1.000000
3.780000,0.028130,1.000000
3.790000,0.020922,1.000000
3.800000,0.030324,1.000000
3.810000,0.023298,1.000000
3.820000,0.032536,1.000000
3.830000,0.025680,1.000000
3.840000,0.034752,1.000000
3.850000,0.028058,1.000000
3.860000,0.036961,1.000000
3.870000,0.030420,1.000000
3.880000,0.039156,1.000000
3.890000,0.032760,1.000000
3.900000,0.041329,1.000000
3.910000,0.035071,1.000000
3.920000,0.043475,1.000000
3.930000,0.037349,1.000000
3.940000,0.045591,1.000000
3.950000,0.039591,1.000000
3.960000,0.047673,1.000000
3.970000,0.041795,1.000000
3.980000,0.049719,1.000000
3.990000,0.043958,1.000000
4.000000,0.051729,1.000000
4.010000,0.046080,1.000000
4.020000,0.053701,1.000000
4.030000,0.048161,1.000000
4.040000,0.055634,1.000000
4.050000,0.050200,1.000000
4.060000,0.057530,1.000000
4.070000,0.052198,1.000000
4.080000,0.059388,1.000000
4.090000,0.054155,1.000000
4.100000,0.061208,1.000000
4.110000,0.056072,1.000000
4.120000,0.062992,1.000000
4.130000,0.057950,1.000000
4.140000,0.064740,1.000000
4.150000,0.059789,1.000000
4.160000,0.066454,1.000000
4.170000,0.061592,1.000000
4.180000,0.068134,1.000000
4.190000,0.063359,1.000000
4.200000,0.069781,1.000000
4.210000,0.065091,1.000000
4.220000,0.071397,1.000000
4.230000,0.066790,1.000000
4.240000,0.072983,1.000000
4.250000,0.068456,1.000000
4.260000,0.074540,1.000000
4.270000,0.070092,1.000000
4.280000,0.076069,1.000000
4.290000,0.071698,1.000000
4.300000,0.077571,1.000000
4.310000,0.073276,1.000000
4.320000,0.079048,1.000000
4.330000,0.074826,1.000000
4.340000,0.080500,1.000000
4.350000,0.076351,1.000000
4.360000,0.081929,1.000000
4.370000,0.077851,1.000000
4.380000,0.083336,1.000000
4.390000,0.079327,1.000000
4.400000,0.084721,1.000000
4.410000,0.080781,1.000000
4.420000,0.086087,1.000000
4.430000,0.082214,1.000000
4.440000,0.087434,1.000000
4.450000,0.083627,1.000000
4.460000,0.088763,1.000000
4.470000,0.085021,1.000000
4.480000,0.090076,1.000000
4.490000,0.086397,1.000000
4.500000,0.091373,1.000000
4.510000,0.087756,1.000000
4.520000,0.092655,1.000000
4.530000,0.089100,1.000000
4.540000,0.093923,1.000000
4.550000,0.090428,1.000000
4.560000,0.095178,1.000000
4.570000,0.091743,1.000000
4.580000,0.096421,1.000000
4.590000,0.093044,1.000000
4.600000,0.097652,1.000000
4.610000,0.094334,1.000000
4.620000,0.098873,1.000000
4.630000,0.095612,1.000000
4.640000,0.100085,1.000000
4.650000,0.096879,1.000000
4.660000,0.101287,1.000000
4.670000,0.098137,1.000000
4.680000,0.102482,1.000000
4.690000,0.099386,1.000000
4.700000,0.103669,1.000000
4.710000,0.100627,1.000000
4.720000,0.104849,1.000000
4.730000,0.101860,1.000000
4.740000,0.106023,1.000000
4.750000,0.103087,1.000000
4.760000,0.107192,1.000000
4.770000,0.104307,1.000000
4.780000,0.108357,1.000000
4.790000,0.105523,1.000000
4.800000,0.109517,1.000000
4.810000,0.106733,1.000000
4.820000,0.110673,1.000000
4.830000,0.107940,1.000000
4.840000,0.111827,1.000000
4.850000,0.109143,1.000000
4.860000,0.112979,1.000000
4.870000,0.110343,1.000000
4.880000,0.114129,1.000000
4.890000,0.111541,1.000000
4.900000,0.115278,1.000000
4.910000,0.112738,1.000000
4.920000,0.116426,1.000000
4.930000,0.113934,1.000000
4.940000,0.117574,1.000000
4.950000,0.115129,1.000000
4.960000,0.118723,1.000000
4.970000,0.116324,1.000000
4.980000,0.119873,1.000000
4.990000,0.117520,1.000000
5.000000,0.121025,1.000000
5.010000,0.118717,1.000000
5.020000,0.122178,1.000000
5.030000,0.119916,1.000000
5.040000,0.123335,1.000000
5.050000,0.121117,1.000000
5.060000,0.124494,1.000000
5.070000,0.122321,1.000000
5.080000,0.125657,1.000000
5.090000,0.123528,1.000000
5.100000,0.126824,1.000000
5.110000,0.124738,1.000000
5.120000,0.127995,1.000000
5.130000,0.125953,1.000000
5.140000,0.129172,1.000000
5.150000,0.127173,1.000000
5.160000,0.130354,1.000000
5.170000,0.128398,1.000000
5.180000,0.131542,1.000000
5.190000,0.129629,1.000000
5.200000,0.132737,1.000000
5.210000,0.130866,1.000000
5.220000,0.133938,1.000000
5.230000,0.132109,1.000000
5.240000,0.135146,1.000000
5.250000,0.133360,1.000000
5.260000,0.136363,1.000000
5.270000,0.134618,1.000000
5.280000,0.137587,1.000000
5.290000,0.135884,1.000000
5.300000,0.138821,1.000000
5.310000,0.137158,1.000000
5.320000,0.140063,1.000000
5.330000,0.138442,1.000000
5.340000,0.141315,1.000000
5.350000,0.139735,1.000000
5.360000,0.142576,1.000000
5.370000,0.141037,1.000000
5.380000,0.143849,1.000000
5.390000,0.142351,1.000000
5.400000,0.145132,1.000000
5.410000,0.143674,1.000000
5.420000,0.146426,1.000000
5.430000,0.145010,1.000000
5.440000,0.147733,1.000000
5.450000,0.146357,1.000000
5.460000,0.149051,1.000000
5.470000,0.147716,1.000000
5.480000,0.150383,1.000000
5.490000,0.149088,1.000000
5.500000,0.151728,1.000000
5.510000,0.150473,1.000000
5.520000,0.153086,1.000000
5.530000,0.151872,1.000000
5.540000,0.154459,1.000000
5.550000,0.153286,1.000000
5.560000,0.155846,1.000000
5.570000,0.154714,1.000000
5.580000,0.157249,1.000000
5.590000,0.156157,1.000000
5.600000,0.158668,1.000000
5.610000,0.157616,1.000000
5.620000,0.160102,1.000000
5.630000,0.159092,1.000000
5.640000,0.161554,1.000000
5.650000,0.160584,1.000000
5.660000,0.163023,1.000000
5.670000,0.162094,1.000000
5.680000,0.164510,1.000000
5.690000,0.163622,1.000000
5.700000,0.166015,1.000000
5.710000,0.165168,1.000000
5.720000,0.167539,1.000000
5.730000,0.166734,1.000000
5.740000,0.169083,1.000000
5.750000,0.168319,1.000000
5.760000,0.170647,1.000000
5.770000,0.169925,1.000000
5.780000,0.172231,1.000000
5.790000,0.171551,1.000000
5.800000,0.173837,1.000000
5.810000,0.173199,1.000000
5.820000,0.175465,1.000000
5.830000,0.174869,1.000000
5.840000,0.177115,1.000000
5.850000,0.176562,1.000000
5.860000,0.178789,1.000000
5.870000,0.178278,1.000000
5.880000,0.180486,1.000000
5.890000,0.180019,1.000000
5.900000,0.182208,1.000000
5.910000,0.181785,1.000000
5.920000,0.183955,1.000000
5.930000,0.183576,1.000000
5.940000,0.185728,1.000000
5.950000,0.185393,1.000000
5.960000,0.187527,1.000000
5.970000,0.187237,1.000000
5.980000,0.189354,1.000000
5.990000,0.189109,1.000000
6.000000,0.191209,1.000000
6.010000,0.191009,1.000000
6.020000,0.193093,1.000000
6.030000,0.192939,1.000000
6.040000,0.195007,1.000000
6.050000,0.194899,1.000000
6.060000,0.196951,1.000000
6.070000,0.196890,1.000000
6.080000,0.198927,1.000000
6.090000,0.198913,1.000000
6.100000,0.200934,1.000000
6.110000,0.200968,1.000000
6.120000,0.202975,1.000000
